status	priority	size	type	rev	role	title	problem	created
needs_revision	P2	M	—	0	НЕ НАЗНАЧЕН	Телеметрия: self-hosted Langfuse/Phoenix на Mac	—	2026-09-13
needs_revision	P2	M	—	1	Директор · Продюсер / Управляющий	Доработать «Платформу»: базовый список клиентов (имя, план, статус, оплачено до), показывать сразу	—	2026-09-13
needs_revision	P2	M	—	1	Директор · Продюсер / Управляющий	Счётчик «Claude-запросов сегодня» (мини-апп + личный чат) — видимый в интерфейсе	—	2026-09-13
needs_revision	P2	M	—	1	Маркетолог · Трафик / Контент / SMM / Книга	V5. Переписать книгу agency_in_a_box.md под финальную модель: аренда по подписке + плата за внедрение (настройку), быстрый онбординг любого бизнеса	—	2026-09-13
needs_revision	P2	M	—	1	Директор · Продюсер / Управляющий	Дневной лимит Claude-запросов на роль через мини-апп + авто-откат на DeepSeek после лимита	—	2026-09-13
needs_revision	P2	M	—	1	Маркетолог · Трафик / Контент / SMM / Книга	Память контекста: уточнение/правка второй репликой в Telegram — точно тот сотрудник, кому назначена задача, не новый набор с нуля	—	2026-09-13
needs_revision	P2	M	—	1	Разработчик · Backend / Frontend / БД / Боты	Почистить кривые/непонятные цифры в «Аналитике» (не удалять вкладку)	—	2026-09-13
needs_revision	P2	M	—	1	Директор · Продюсер / Управляющий	Проверить/включить веб-поиск агентам (Маркетолог — тренды, Финансист — курс валют, Разработчик — документация API)	—	2026-09-13
needs_revision	P2	M	—	1	Владелец · Основатель и владелец NCAi	Реальная подгрузка knowledge_base в промпт агента (сейчас это просто список названий файлов, backend не читает их содержимое — агент слепой)	—	2026-09-13
needs_revision	P2	M	EXPERIMENT	4	Разработчик #3 · Backend / Frontend / БД / Боты	Попробовать agentrouter.org как доп. провайдера (тестовый ключ, не прод)	Не проверен agentrouter.org как доп. провайдер (latency/cost/reliability).	2026-09-13
needs_revision	P2	M	—	1	Директор · Продюсер / Управляющий	Миграция данных в единый Postgres: применить DDL §3.2 + ETL из JSON/SQLite	—	2026-09-14
needs_revision	P2	M	—	1	Директор · Продюсер / Управляющий	Cutover: переключить backend.py на чтение/запись в Postgres (вместо JSON/SQLite)	—	2026-09-14
needs_revision	P2	M	—	1	Директор · Продюсер / Управляющий	Полный переход на архитектуру БД: убрать все файловые фолбэки/параллельную запись (projects.json, agent_stats.json и т.д.), мини-апп отражает только Postgres	—	2026-09-14
needs_revision	P2	M	—	1	Разработчик · Backend / Frontend / БД / Боты	БАГ: пункт «Партнёры» пропадает из десктопного меню сайта	—	2026-09-14
needs_revision	P2	M	BUG	1	Разработчик · Backend / Frontend / БД / Боты	БАГ: кастомный SVG-курсор пропадает на некоторых страницах	Кастомный SVG-курсор пропадает на части страниц.	2026-09-14
needs_revision	P2	M	CONTENT	1	Разработчик · Backend / Frontend / БД / Боты	Вшить нейро-воронку в funnel_bot.py по полному ТЗ (квиз → прогрев → разбор Петрова → Распаковка)	Тексты воронки в funnel_bot.py старые (про «заявки») — нейро-воронка не вшита по ТЗ.	2026-09-14
needs_revision	P2	M	BUG	0	Разработчик #2 · Backend / Frontend / БД / Боты	Уведомление о завершении задачи: показывать название задачи + профит	Уведомление о завершении не показывает название задачи и реальный профит.	2026-09-14
needs_revision	P2	M	CONTENT	0	Маркетолог · Трафик / Контент / SMM / Книга	Полные описания всех продуктов NCAi в БД (достоверные, все детали)	Описания продуктов в БД неполные/устаревшие — старые цены и детали.	2026-09-14
needs_revision	P2	M	CONTENT	1	Разработчик · Backend / Frontend / БД / Боты	Воронка v2: интерактив + баги + прогрев к Распаковке + позиционирование (Б,Г,Ж,З,И,К,Л)	Воронка v2 не закрыта по блокам Б,Г,Ж,З,И,К,Л — нет интерактива и прогрева к Распаковке.	2026-09-14
needs_revision	P2	M	—	1	Разработчик · Backend / Frontend / БД / Боты	Разбор 190₽: мягче тон, без упоминания книги, разбор не пропадает после CTA	—	2026-09-14
needs_revision	P2	M	—	2	Разработчик · Backend / Frontend / БД / Боты	Кнопка «Хочу так же — что дальше?» (tripwire:intro) глючит при нажатии	—	2026-09-14
needs_revision	P2	M	UX	1	Разработчик #2 · Backend / Frontend / БД / Боты	UX-проработка мини-аппа: убрать дубли/лишнее, добавить % точности и сводку	В мини-аппе дубли, мёртвые кнопки, нет % точности и сводки.	2026-09-15
needs_revision	P2	M	QUALITY	0	Разработчик · Backend / Frontend / БД / Боты	Мощная метрика точности: глубина правок + время закрытия + причины + тренд	Точность считается примитивно (clean/total) — не видно глубины правок, времени, причин, тренда.	2026-09-15
needs_revision	P2	M	BUG	0	Разработчик · Backend / Frontend / БД / Боты	Баг: после разбора воронка останавливается на 1-м сообщении прогрева (нет оффера/CTA)	После разбора воронка останавливается на 1-м сообщении прогрева — нет оффера/CTA.	2026-09-15
needs_revision	P2	M	CONTENT	1	Маркетолог · Трафик / Контент / SMM / Книга	Язык разбора Петрова: точечно, концептуально, по-человечески, блок «Точки роста»	Язык разбора Петрова канцелярский — не точечный, не концептуальный, нет блока «Точки роста».	2026-09-15
needs_revision	P2	M	FEATURE	0	Разработчик #2 · Backend / Frontend / БД / Боты	Платформа = пульт агентства: карточки клиентов + MRR + воронка + действия + журнал	Платформа не является пультом агентства — нет карточек клиентов, MRR, воронки, действий, журнала.	2026-09-15
needs_revision	P2	M	—	1	Разработчик · Backend / Frontend / БД / Боты	ШАГ 1: перенести 3 SQLite в Postgres и удалить файлы	—	2026-09-15
needs_revision	P2	M	QUALITY	3	Разработчик #3 · Backend / Frontend / БД / Боты	Внедрить Петров A1+A2+B4: рестейт до старта + план до кода + измеримый done_when	Не внедрены практики Петрова: рестейт до старта (A1), план до кода (A2), измеримый done_when (B4).	2026-09-15
needs_revision	P2	M	CONTENT	1	Разработчик #2 · Backend / Frontend / БД / Боты	Закрытая страница-обзор БД на сайте (пароль 1111) — «что под капотом»	Нет закрытой страницы-обзора БД на сайте.	2026-09-15
needs_revision	P2	XL	—	1	НЕ НАЗНАЧЕН	Рефакторинг кода: пройтись по всему, почистить, проверить (гигиена → точность)	—	2026-09-15
needs_revision	P2	M	—	1	Разработчик · Backend / Frontend / БД / Боты	Рефакторинг 1/3: слой данных (pg_store/prompts_store/services_store) + мёртвый код	—	2026-09-15
needs_revision	P2	L	OPS	1	Разработчик #3 · Backend / Frontend / БД / Боты	Рефакторинг 2/3: backend.py — мёртвый код, дубли, обработка ошибок	backend.py раздут — мёртвый код, дубли, слабая обработка ошибок.	2026-09-15
needs_revision	P2	M	FEATURE	1	Разработчик · Backend / Frontend / БД / Боты	Приёмка 2/3: гейт «не создавать задачу без обсуждения» + переходы	Задача создаётся в обход обсуждения — нет гейта USER REQUEST → INTAKE → CLARIFICATION → TASK.	2026-09-15
needs_revision	P2	M	QUALITY	3	Разработчик · Backend / Frontend / БД / Боты	Авто-детектор легаси-ридеров (файл удалён, но читается)	Удалённый projects.json всё ещё читается кодом — легаси-ридер не ловится автоматически.	2026-09-15
needs_revision	P2	M	FEATURE	3	Разработчик · Backend / Frontend / БД / Боты	Обязательное поле «Проверка:» при создании задачи	Задача создаётся без обязательного поля «Проверка:» — нечем проверять результат.	2026-09-15
needs_revision	P2	L	FEATURE	1	Разработчик #3 · Backend / Frontend / БД / Боты	Управление проектами: создавать проекты и распределять задачи	Нельзя создавать проекты и распределять задачи между ними.	2026-09-15
needs_revision	P2	M	—	1	НЕ НАЗНАЧЕН	Честный XP и уровень сотрудников (сейчас 0/100 у всех)	—	2026-09-15
needs_revision	P2	S	FEATURE	1	Разработчик #3 · Backend / Frontend / БД / Боты	Кнопка «Сброс воронки» в мини-аппе (Платформа)	Клиент не может сбросить воронку — застрявший funnel-след чистится только вручную.	2026-09-15
needs_revision	P2	M	CONTENT	1	Маркетолог · Трафик / Контент / SMM / Книга	Упаковать каталог механизмов в страницу «Под капотом NCAi»	Каталог механизмов не упакован в страницу «Под капотом NCAi».	2026-09-15
needs_revision	P2	M	FEATURE	1	Разработчик · Backend / Frontend / БД / Боты	Трипваер: баг кнопки + усиленный офер + бесплатный разбор + «Готово ✅»	Трипваер сломан: кнопка не работает, офер слабый, нет бесплатного разбора.	2026-09-15
needs_revision	P2	M	CONTENT	1	Специалист · Визуал / Вёрстка / Креативы	Обновить скрины в воронке под новый функционал мини-аппа	Скрины в воронке устарели — не отражают новый функционал мини-аппа.	2026-09-15
needs_revision	P2	L	CONTENT	3	Разработчик · Backend / Frontend / БД / Боты	Распаковка для ДВУХ аудиторий: бизнес + новая профессия «менеджер AI-агентства»	Распаковка позиционирована только на бизнес — не покрыта аудитория «менеджер AI-агентства».	2026-09-15
needs_revision	P2	M	AI	1	Разработчик #3 · Backend / Frontend / БД / Боты	Еженедельная консолидация уроков → принципы (дедуп + обобщение)	Уроки копятся без консолидации — нет дедупа и обобщения в принципы.	2026-09-15
needs_revision	P2	L	CONTENT	1	Маркетолог · Трафик / Контент / SMM / Книга	Сайт: качественный рерайт раздела Распаковки (движок изменился) + галерея скринов + «Для кого»	Раздел Распаковки на сайте устарел — движок изменился, нет скринов и «Для кого».	2026-09-15
needs_revision	P2	M	FEATURE	3	Разработчик #3 · Backend / Frontend / БД / Боты	Услуга: AI-управление Яндекс Директом через Yandex Ads MCP	Нет услуги AI-управления Яндекс Директом — клиент не может заказать управление рекламой через Yandex Ads MCP.	2026-09-16
needs_revision	P2	S	FEATURE	1	Разработчик #2 · Backend / Frontend / БД / Боты	Робастность бота: error_handler + кеш доступа (из ONTO NOTHING)	Бот падает на 404/409/таймаутах и не кеширует доступ — из ONTO NOTHING.	2026-09-16
needs_revision	P2	L	REFACTOR	0	Разработчик #3 · Backend / Frontend / БД / Боты	Вынести все промпты из backend.py в knowledge/prompts/ отдельным слоем (как у Кости prompts/)	—	2026-09-18
needs_revision	P2	S	CONTENT	0	Разработчик #2 · Backend / Frontend / БД / Боты	Приёмы промтов: запрет выдумывания чисел + разрешение говорить плохое (Петров/Вера)	—	2026-09-18
needs_revision	P3	S	BUG	1	Разработчик #3 · Backend / Frontend / БД / Боты	Флаг awaiting_audit_payment write-only (пишется, не читается) — противоречия состояния (Анна/Константин)	Флаг awaiting_audit_payment write-only (пишется, не читается) — противоречия состояния (Анна/Константин)	2026-09-18
todo	P0	L	—	0	НЕ НАЗНАЧЕН	Ужесточить авто-гейт: ложные отклонения не роняют клиентские задачи	Авто-гейт ложно отклоняет задачи из-за файлов, которые агент не трогал (сайтовые html с «на глаз»), — клиентская задача застревает в needs_revision, хотя работа сделана. Илья: «как сделать чтобы у кли	2026-09-18
todo	P0	M	—	0	НЕ НАЗНАЧЕН	Зависшие runs, убитые watchdog, списываются как $0	Аудит (Claude 5): _mark_run_timeout пишет cost_usd=0 и НЕ вызывает _charge_ai_budget; _resolve_stalled_run не ставит cost_usd. Токены DeepSeek уже потрачены и учтены в глобальной finance_core. Структу	2026-09-19
todo	P0	M	SECURITY	0	Разработчик #3 · Backend / Frontend / БД / Боты	Контейнер ncai-postgres открыт на 0.0.0.0:5432: ncai-postgres экспонирует порт 5432 на все интерфейсы, а не только loc	—	2026-09-19
todo	P0	M	SECURITY	0	Разработчик #3 · Backend / Frontend / БД / Боты	Секрет в launchd-плисте в открытом виде: com.ncai.hermes-miniapp-backend.plist:12 (значение скрыто)	—	2026-09-19
todo	P0	M	—	0	НЕ НАЗНАЧЕН	byok-auto-grant-on-purchase	—	2026-09-19
todo	P0	M	—	0	НЕ НАЗНАЧЕН	Premium показывает 14 900 ₽/мес вместо 4 900 (seats расхождение)	—	2026-09-19
todo	P1	M	CONTENT	0	Маркетолог · Трафик / Контент / SMM / Книга	Переписать оффер сайта: «готовое агентство + методология + результат для не-программиста», не «доступ к AI»	Оффер сайта продаёт «доступ к AI» (Hermes free/OSS), а не реальную ценность (команда+методология+инфраструктура).	2026-09-13
todo	P1	L	CONTENT	3	Маркетолог · Трафик / Контент / SMM / Книга	Аудит сайта целиком: по каждой странице что дублируется, чего не хватает, что править под новое позиционирование	Сайт не обновлён целиком под новую систему.	2026-09-15
todo	P1	XL	—	0	НЕ НАЗНАЧЕН	Переписать все промпты ролей по мастер-скелету (7 блоков)	Методология (мастер-скелет, 7 блоков) написана в agent_prompts, но runtime-промпты (agents.charge) — старые неструктурированные. Агенты работают по старым промптам, методология не применяется. Илья за	2026-09-18
todo	P1	M	—	0	НЕ НАЗНАЧЕН	Тонкий собственный цикл для routine-тира (без hermes -z)	hermes -z виснет на больших промптах (fix-hermes-z-hang-large-prompts открыт), а для рутины (чтение БД/суммирование) движок избыточен. Оптимизация под нашу систему без ухода от Hermes: рутину — напрям	2026-09-18
todo	P1	S	—	0	НЕ НАЗНАЧЕН	_charge_ai_budget молча глотает ошибки записи в Postgres	Аудит (Claude 5): _charge_ai_budget ловит Exception от add_ai_spend, пишет в stdout, отбрасывает. Нет ретрая/очереди/алерта. При сбое PG ai_spent_usd навсегда недосчитывается → remaining_usd завышен →	2026-09-19
todo	P1	M	—	0	НЕ НАЗНАЧЕН	Тир fast: маркетолог/финансист/Петров на deepseek-flash (в ~4x дешевле)	V4-Flash: SWE-bench 79.0 vs Pro 80.6 (всего -1.6 пункта), но в разы дешевле. В роутинге сейчас 4 тира (routine=Ollama, light=Ollama, complex=v4-pro, premium=Claude) — Flash НЕ тир, только аварийный фо	2026-09-19
todo	P1	M	—	0	НЕ НАЗНАЧЕН	fix-methodologies-bot-button	—	2026-09-19
todo	P1	M	—	0	НЕ НАЗНАЧЕН	Расчистить клиентский интерфейс до сути: убрать тех-слой и метрики (Команду и Методологии не трогаем)	—	2026-09-19
todo	P1	M	—	0	НЕ НАЗНАЧЕН	cabinet-bot-onboarding-welcome	—	2026-09-19
todo	P1	M	—	0	НЕ НАЗНАЧЕН	cabinet-first-run-richness	—	2026-09-19
todo	P1	M	—	0	НЕ НАЗНАЧЕН	Примеры ответов в интервью распаковки	—	2026-09-19
todo	P1	M	—	0	НЕ НАЗНАЧЕН	Распаковка: промпт Петрова не обрезается (гигантский)	—	2026-09-19
todo	P1	M	—	0	НЕ НАЗНАЧЕН	Повторный проход воронки на Продамус (после переключения со звёзд)	—	2026-09-19
todo	P2	M	OPS	0	Директор · Продюсер / Управляющий	Пилот: Илья сам + gaze.arch — распаковать агентство на себе как первом workspace, обкатать процесс (без вымышленных клиентов)	Агентство не обкатано на себе — нет реального пилота полного цикла на Илье+gaze.arch.	2026-09-13
todo	P2	M	UX	0	Разработчик · Backend / Frontend / БД / Боты	Визуально обновить вкладку Команда в мини-аппе: показать level/XP/quality rate у каждого сотрудника	В карточках сотрудников нет level/XP/quality rate.	2026-09-14
todo	P2	M	DATA	0	Разработчик · Backend / Frontend / БД / Боты	5.5 Артефакт-фидбек: владелец фиксирует реальный бизнес-результат задачи (число+метрика+источник+срок), влияет на XP	Владелец не фиксирует бизнес-результат задачи — XP не отражает реальную ценность.	2026-09-14
todo	P2	M	DATA	0	Разработчик · Backend / Frontend / БД / Боты	Синхронизация «Команды»: чистка legacy-запусков + разбивка неделя/месяц	Вкладка «Команда» показывает legacy-длительности (632 544 мин) — данные не синхронизированы.	2026-09-14
todo	P2	M	BUG	0	Разработчик · Backend / Frontend / БД / Боты	Баг: кнопка «Разбить» непоследовательна + контроль качества разбивки	Кнопка «Разбить» непоследовательна, нет контроля качества разбивки.	2026-09-14
todo	P2	M	OPS	0	Владелец · Основатель и владелец NCAi	[РАЗБОР ПЕТРОВА] Илья Новицкий — отчёт в течение 24 ч	Нужен разбор Петрова для Ильи Новицкого в течение 24 ч.	2026-09-14
todo	P2	M	FEATURE	0	Разработчик · Backend / Frontend / БД / Боты	Механизм приоритетов задач (сейчас его нет)	Приоритета задач нет — планер не сортирует по P0/P1/P2/P3, всё де-факто равноценно.	2026-09-14
todo	P2	M	OPS	0	Владелец · Основатель и владелец NCAi	[ВОПРОС] /reset	Владелец задал вопрос про /reset — нужен ответ.	2026-09-14
todo	P2	M	UX	0	Разработчик #2 · Backend / Frontend / БД / Боты	Панель «Отчёты»: живые KPI + отчёт сотрудников + разбор Петрова (обновление 6:00)	Нет вкладки «Отчёты» с живыми KPI, отчётом сотрудников и разбором Петрова.	2026-09-15
todo	P2	M	FEATURE	0	Разработчик · Backend / Frontend / БД / Боты	Услуга: видео-продакшн под ключ (монтаж + выкладка)	Нет услуги видео-продакшн под ключ.	2026-09-16
todo	P2	M	CONTENT	0	Разработчик · Backend / Frontend / БД / Боты	Гайд «Проверка и приёмка задач» — запороленная страница на сайте (как /inside «Под капотом»)	Нет запороленной страницы-гайда приёмки задач на сайте.	2026-09-16
todo	P2	L	—	0	НЕ НАЗНАЧЕН	B2B-оффер резюме: упаковать NCAi как главный технологический кейс для найма	Неопределённость: продавать продукт или идти в найм. Нужен запасной путь — сильное резюме с NCAi как доказательством реальных навыков.	2026-09-18
todo	P2	S	—	0	НЕ НАЗНАЧЕН	Сырой внутренний статус протекает в /api/my/orders	Аудит (Claude 5): /api/my/orders в _subtask_view и цикле заказа отдаёт И 'status' (сырой: error/stalled/blocked/needs_revision), И 'status_label' (маскированный). Докстринг обещает НИКОГДА не отдавать	2026-09-19
todo	P2	M	—	0	НЕ НАЗНАЧЕН	Разбить монолит core/pg_store.py (6.8K строк) на доменные модули	Аудит (Claude 5) §4.2: core/pg_store.py — 6 851 строка, ~230 функций, смешивает биллинг/платежи, базу знаний, память агентов, CRUD задач/проектов, XP/метрики. Единственный слой доступа к данным → макс	2026-09-19
todo	P2	M	—	0	НЕ НАЗНАЧЕН	fix-mini-app-personal-layout	—	2026-09-19
todo	P2	M	—	0	НЕ НАЗНАЧЕН	fix-analytics-menu-visibility	—	2026-09-19
todo	P2	M	—	0	НЕ НАЗНАЧЕН	Контент-план на неделю	—	2026-09-19
todo	P2	M	—	0	НЕ НАЗНАЧЕН	Собрать прайс услуг	—	2026-09-19
todo	P2	M	—	0	НЕ НАЗНАЧЕН	Отчёт по записи за день	—	2026-09-19
todo	P2	M	—	0	НЕ НАЗНАЧЕН	План публикаций в соцсетях	—	2026-09-19
todo	P3	M	IDEA	0	Разработчик · Backend / Frontend / БД / Боты	Клиентская функция: докупить сотрудника в мини-аппе (1000₽) → опросник → новый сотрудник в команде клиента	Тариф «Extra employee — 1000₽» из матрицы. Клиент должен уметь докупать сотрудников под свои задачи	2026-09-18
todo	P3	S	—	0	НЕ НАЗНАЧЕН	Идемпотентность webhook Prodamus обходится при пустом order_id	Аудит (Claude 5): if order_id and payment_by_external(order_id) — при пустом order_id защита от повторной обработки обходится. Prodamus описывает повторные доставки webhook при сбое.	2026-09-19
todo	P3	S	—	0	НЕ НАЗНАЧЕН	Годовая цена 49 000 ₽ в 3 местах, отсутствует в TARIFF	Аудит (Claude 5) финал: TARIFF («единственный источник цен») НЕ содержит subscription_yearly (49 000 ₽) — цена в PRODAMUS_PRODUCTS (payments/prodamus_pay.py:178) + литеральный фолбэк amount or 49000 в	2026-09-19
(120 rows)
